location,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5
Seville,"If you call the police on a person with an apparent mental illness, you will get a report.","If you call the police on a person with a history of substance abuse, you will get a report.","If you call the police on a person with an unemotional personality, you will get a report.","Most people understand these facts, but most people don't.",The stigma has no place in the psychiatric ward.
Shanghai,The stock market has been remarkably volatile since 2000.,The stock market has been volatile since 2000.,The stock market has been so volatile it is nearly impossible to predict what will happen in the future.,There is no doubt that a large part of the Chinese economy will benefit from a strong currency.,"This is due to the fact that the Chinese economy is growing and increasing rapidly, and there are several other reasons for this."
Shrewsbury,"The Shrewsbury Road is a narrow, almost straight-like road (about 1.5km) from Rotherham to the junction with the railway station.",It has a narrow street with a few trees.,"The Shrewsbury Road is the longest road in the country, connecting London with Surrey.","At some points, it has a large pond, which contains a large number of garden plants, which is known as ""the pond"".","The main part of the road is the main shopping area, where there are more shops than shops in all of the areas above it."
Siena,Siena was founded in 1915.,"It is in our possession, and will remain there until the end of the century.",Siena is a national park and part of the island of Siena.,Siena is a UNESCO World Heritage Site.,"Siena is home to the nation's first female president, and its first woman prime minister."
Singapore,"Singapore's roads are lined with paved, green and unpaved roads.",The roads can be widened to accommodate a wider pedestrian population.,These are paved in the past so pedestrians can walk through them.,It is possible to get around by driving only by driving around the streets.,Most people will enjoy Singapore.
Sofia,"""She was murdered by two gang members in her hometown."" And no one was prosecuted for the crimes that led to Sofia's death, but police have investigated the murders and found that ""she did not have any connection to the killings.""

1.","Sofia was not ""on drugs"" at the time of her death.",He went on to commit numerous murders.,"When she left, she allegedly got into a fight with two of her former co-workers who allegedly had a problem with her.",Sofia was a drug addict.
Spain,Spain is not a land of land that can be used to build homes for the poor and to work as a factory.,"In fact, Spain is actually a vast resource, an economic powerhouse, that is not dependent on the EU, but rather has access to a huge and growing pool of natural resources that can be used to create the kinds of homes for the poor and the working class.",Spain has the lowest poverty rate in Europe and the lowest unemployment rate in the European Union.,"Spain was a member of the European Union, having its own national language and a significant amount of national identity.",Spanish people live on $10 an hour.
Springfield,"Here's what's wrong with Springfield, Springfield.",The people at the Springfield Family Institute want you dead.,They want you to live in a house.,"If you have to go to Springfield or get a job in Springfield, go to Springfield.",You'll learn how to make money there.
Stockholm,"The Swedish government, including the president, has refused to allow the city to operate in its current form.","In Sweden, there are not enough people to build the city's public works.","In fact, it has been estimated that more than half of the city's population lives in Stockholm and some of the city's neighborhoods can't even afford to build public works.","In fact, it has been estimated that more than half of the city's population lives in Stockholm and some of the city's neighborhoods can't even afford to build public works.","In Denmark, it's considered a crime for people to live in Stockholm and some people even live in the city's parks."
Stuttgart,The number of Stuttgart visitors and visitors who arrive at the city is 6.3 million in 2000.,The city centre is a perfect location for tourists and it is where most people come to spend the morning.,It is also home to the largest railway station and it is the only city in the world to have a high school.,It is also the only city that is home to the largest university.,It was founded by the famous German military captain Friedrich Wilhelm von Stuttgart in 1811.
Sudan,"KUBAI (Kuba) has more than 400,000 people.",Its borders are divided between Sudan and Syria.,Its borders are divided between Sudan and Syria.,Sudan is the only country with high rates of unemployment.,The UN estimates that the Sudanese unemployment rate is 3.7 per cent.
Surrey,"Surrey's urban and rural areas have the highest rate of urban sprawl

The Surrey metropolitan area has the second highest rate of urban sprawl in the country, behind only San Francisco.","In fact, the number of households in Surrey has more than doubled in the past five years.","Surrey has the highest percentage of people living in rural areas

In 2010, Surrey had the highest percentage of people living in rural areas, followed by Cambridge, Milton Keynes, Surrey, West Yorkshire, North East London, Newcastle, and Birmingham.","The percentage of people living in rural areas has increased over the past decade, although this number has remained at a relatively low level.","Surrey has the highest proportion of people living in rural areas and the highest proportion of people living in urban areas

The total number of people living in Surrey is more than twice the number of people living in urban areas."
Sweden,"Sweden had a lower per capita GDP for every person born in Sweden than for every person born in the United States

2.","Sweden's per capita GDP was 3.3% higher than the United States'

3.","Sweden had a higher per capita GDP for every person born in Sweden than for every person born in the United States than for every person born in Canada

4.","Sweden had a higher per capita GDP for every person born in Sweden than for every person born in Canada than for every person born in the Netherlands

5.","Sweden had the lowest per capita GDP in Europe per capita, while the United States had the highest."
Switzerland,"Fact 1: Switzerland has a ""stadium"" (a ""fossil"" or ""truck"") at the end of the country.","In fact, it's a city with a ""fossil"" and an ""truck"" (the ""universe"").","The only place in the world where there are ""universe"" is the United States.",Switzerland has no legislative assembly (where any person can become president).,The state can only appoint or elect its elected representatives.
Sydney,It is also the place where you will most likely never return to.,It's a place where you are likely to die.,"That is, you would probably be living in Sydney.",But it has been shown that people have the capacity to experience such a beautiful city.,And I believe this is one of the greatest sporting events of our time.
Tacoma,"The Tacoma Transit Authority (TTA) is the only agency that runs on the rails of Washington, D.C.","Tacoma Transit Authority, a major transit agency in Seattle, runs on the rails of Washington, D.C., with an average daily service of 1.8 hours and is the only agency to have a single bus service of 1 hour.",The Tacoma Transit Authority is the only agency that provides all bus service to the U.S.,capital.,"The TTA operates in Washington, D.C., but it is also the only agency that offers all express bus service to the U.S."
Taiwan,Taiwan is not the only place where the government can claim legitimacy as a sovereign nation.,"Taiwan's government is the only one to claim legitimacy as a sovereign nation

Taiwan is the only country in the world that doesn't have a government that is democratically elected or confirmed as the first official in the state.",The fact that Taiwan has the first official government as a sovereign nation on the UN Security Council means that it has a right to determine its own constitution and constitution in an open and transparent manner and to choose representatives who are accountable to it.,The fact that Taiwan has the first official government as a sovereign nation on the UN Security Council means that it has a right to determine its own constitution and constitution in an open and transparent manner and to choose representatives who are accountable to it.,The Taiwanese people have the power to do whatever they wish and to change the constitution for the better.
Tbilisi,"The Tbilisi authorities do not control, govern, and control the media.",The Tbilisi government is also the largest political and media body in the country.,The Tbilisi government is an entity that has been in power for decades.,The Tbilisi government has been in charge of the political and media structures of the country for many years.,The Tbilisi government has been responsible for the education and health care of the people of Tbilisi.
Tehran,the first one is that Iran is not the only world power to pursue nuclear weapons.,"It is a ""state"".","And that is to say that, in some areas, it is possible to build nuclear weapons without an international agreement.",It is one of the world's most important energy exporters.,"It provides nearly 4% of the world's electricity, and is one of the top energy producers in the world."
Thailand,"In the 1970s, Thailand was known as the most polluted city in the world.","In 2014, the country ranked #2.","Thailand's population was estimated to be about 15.5 billion people, including over half of the country's population.","According to the World Health Organization, Thailand is the worst polluted city in the world.","The average price of Thai food is about $1,400 per day."
Tibet,"Tibet is a ""lost"" region, and is now on the verge of destruction.",Tibet is in its very early stages of destruction.,The Tibetans were the first people to discover that the Earth has moved in a straight line from the center of the Sun to the center of the Earth.,Tibet is the first country to discover that this is actually true.,"Tibet is the last land to be discovered, and the first country to discover that it is actually a ""lost"" land."
Tokyo,The Japanese government is not going to stop making money from building nuclear reactors.,The government is not going to do away with the power plants to power the economy in their respective states.,"The government does not want to build nuclear power plants, even if they are in the right state.","Japan's economy is in line with the world's average of over 95 percent, and Japan is currently at the top of the world's nuclear power production chart.","Japan has a huge and growing nuclear industry, and while it is growing, it has not made any big progress in reducing its emissions of greenhouse gases."
Toronto,"The city's population increased by more than 200,000 during the 1960s.","A new city building in Toronto (e.g., Eaton Centre) is currently in its early stages of construction.","In 2014, the number of people living in a building on the west end of the main street was approximately 1.4 million.","The Toronto World Heritage site, which was the site of a World War II-era Canadian Army base, was recently moved to the west end of the main street.","The city's population increased by more than 200,000 during the 1960s."
Tunisia,A woman in Tunisia is not a woman in America.,"The word ""woman"" is not a word.",Women in Tunisia are not women.,Women in Tunisia are not Americans.,"The word ""women"" does not mean any more than ""women"" means ""a woman.""

If you want to know more about Tunisian men, go to the official website."
Turin,"This is a nice little way to start the next part of the series, but it's also easy to miss a few important points:

1) Turin is not a modern city.",It was built during the First World War.,The city was destroyed in 1945.,"There are also around 1,000 Christians.","Turin is home to 2,700 Christian refugees."
Turkey,"The first is that in Turkey, the state is not only a business but a legal entity.",The business is a natural development.,"The fact that Turkey is a law-making power, rather than a military one, is a feature of it and an important feature.","The third is that in Turkey, the state is more of a political institution and more of a judicial body, such as the Constitution.","In fact, Turkey has more judicial bodies than any other country."
Uganda,The government of Uganda has failed to deliver a living standard to the poor and working class.,It has failed to provide an affordable health care system.,It has failed to provide adequate education for the poorest.,It has failed to provide a social safety net for the homeless.,It has failed to protect the environment.
Ukraine,The only Ukrainian national in the world who has made it to the EU has been Viktor Yanukovych.,"There are more than 10,000 Ukrainians living in the EU.",Ukraine is not a member of the European Union.,Ukraine is not part of the Schengen Area.,The European Union is not in breach of the European Convention on Human Rights.
Utrecht,It's a German city.,The local community is German.,A German citizen is in Utrecht.,"The name ""Bart"" is a misnomer of ""Bart"" (Bartstatt's Bautzen) in Bautzen (Budapest).","The name ""Bart"" is a misnomer of ""Bartstatt's Bautzen"" in Bautzen (Budapest)."
Vancouver,"The city does not have a liquor license

The city does not have a liquor license, but does have a liquor license with an exception.",No one has ever been able to legally buy a liquor at a licensed premises.,The city is an unregulated and unregulated city.,"Vancouver has had the highest number of alcohol-related deaths in the United States over the past five years, according to the National Conference of State Legislatures.","The city, which is home to the National Association of Manufacturers (NAM), ranks 27th in the country."
Venice,Venice was founded by Napoleon (1812-1906).,Venice was built in the early years of the 19th century and was built by the Romans.,Venice was built by the Spanish in the 17th century and was built by the French in the 18th century.,The Venetian Empire is the largest and most powerful in the world.,Venice is the only city in Europe to be built by the Romans or Spaniards.
Vermont,The state is home to the largest number of U.S.,"prisoners of war, with a population of around 1.7 million.","In 1993, Vermont became the only state in the nation that had more than one million U.S.",prisoners.,Vermont was a U.S.
Vernon,"""In a sense, Vernon is a good player.""

Vernon is a true freshman who has a shot to play in the NCAA Tournament, but he's going to have to be better than that.",Vernon's not going to be great on defense.,"He doesn't have the size, mobility and athleticism to be a top-10 offensive point guard in the league.",He's not going to be a top-40 player in college.,"The question is: Should we accept that?

The answer is, ""No.""

We've seen what happens when a player can't be a top-30 player in the college game."
Verona,"Verona was a young woman, born and raised in the Valley of the Kings, a land that was rich with gold, silver and precious stones.","A land of luxury and freedom, but with a high, rich and rich history.","At the age of nineteen, Verona was awarded the title of Queen of the Kings and Queen of the People.","Verona and the people of the Valley of the Kings are a nation that has always been proud to stand for the good of all, and for the protection of the people.",You are always in the right place.
Vienna,The city is an important and historic symbol.,Vienna is the first city in the world to have a capital on the eastern side of the Rhine.,The Vienna Convention of 1748 established the basis for Vienna's status as a center of commerce and a place of great cultural and religious significance.,"The Convention was ratified on October 9, 1748, and has been in effect since.",For over 100 years Vienna has been regarded as the capital of Europe.
Vietnam,"""Vietnam was a country of great importance to the world and had the highest military standards."" Here is how these facts were written: ""The United States had a number of air power and ground forces, including the main anti-submarine forces and the main anti-air forces.","The United States had a great number of troops, including the most important of which was the 4th Armored Division.""

""The United States had a great number of troops, including the most important of which was the 4th Armored Division."" ""The United States had the largest number of aircraft carriers, including the major carriers of the United States Navy.""

""The United States had the largest number of ships, including the largest number of ships."" ""The number of aircraft carriers in the fleet has increased substantially since World War II.","In fact, the Navy is the world's largest fleet.","The United States has about 6,000 aircraft carriers in its fleet."" ""Vietnam had more air power than any other country in the world, and most of the air force was in the area, and the number of aircraft carriers in Vietnam was more than 100.""

""In fact, the Navy is the world's largest fleet.","The United States has about 6,000 aircraft."
Virginia,"In the first case, the defendant's name did not appear on the evidence.","In the second case, it was never admitted.",The defendant had a valid driver's license.,"In the third case, the defendant did not have a valid driver's license.","It's a ""threat to national security,"" says the ACLU."
Wales,Wales is a European country.,The country is a country of European origin.,"It is part of the same commonwealth and it has the same national identity as Wales, as well as the same language.","The Welsh language was first spoken in Wales in the 16th century, but it spread in Europe to the rest of the continent at a much faster rate than its English counterpart.","It was the first language spoken in the whole of the world, and the first European language ever spoken in Britain."
Warsaw,"""Cuz the people of Poland who believe that they were betrayed by the British were the people of the Polish nation and who are ready to face the truth and to fight the British.""

1.",The British attacked Warsaw on 2 October 1941 and captured the Polish troops.,"In 1944, in a surprise attack on Warsaw, the British troops captured the Polish troops.","However, the Germans were able to occupy all Polish territory during the war, and Poland was not liberated until 1941.",This meant that the Germans did not have the necessary manpower to defend the city.
Warwickshire,The first is the fact that the first war was fought by British forces in the early 1800s.,"The second is the fact that at the end of the first war, Britain had lost a total of 40,000 British troops.",The third is the fact that the second war was fought by British forces in the early 1800s.,"The fourth is the fact that at the end of the second war, Britain had lost more than 10,000 British troops.","The fifth is the fact that the war lasted more than 3,500 years."
Wellington,"Wellington's most famous fish was the Big One, a large, black, silver-headed fish, with a large, silver-headed shell.","The Big One has a long, long neck, a large, large neck and a large, large, broad-rimmed head.","It has a very long dorsal fin, a very long, long tail, and a long, long head.",It has a very large head.,"Wellington had a high-tide, low-to-middle-level (R-shaped) tooth."
Westminster,"Westminster is NOT the ""party of the nation"" which is the exact opposite of its stated intention, and this is why you should always keep a close eye on it, as it is far more likely to be taken seriously than any one word you might say.","It is not a ""party"" as is often reported.","In fact, it is an umbrella term for a broader umbrella of political parties that are not necessarily the same, such as, say, the Socialist Party or the Labour Party.",It is the government of the day.,"The Labour Party, for example, is the largest organisation in the country and the only one that can take on the role of government by running a parliamentary party."
Windsor,The Windsor Family is a non-profit corporation (the Windsor Group is not a nonprofit corporation).,"Windsor, B.C.","Instead, the Windsor Group, by that name, is a non-profit corporation.","The Windsor Group is a non-profit corporation, with a limited mission.","Windsor, B.C."
Winnipeg,"The city is home to the world's only modern golf course, a $17.6 million (in 2015 dollars) golf course.",The entire course has been designed and built by people from all over the world.,The city is the only city in the world to have a single-family home.,It's located just outside the outer limits of Toronto.,The city is home to the world's only first-generation golf cart.
Wisconsin,"If you have a Wisconsin state license, you must have one for you.","If you have an old Wisconsin state license, you must have one for you.","If you have an old Wisconsin state license, you must have one for you.","If you have an old Wisconsin state license, you must have one for you.","If you have an old Wisconsin state license, you must have one for you."
Wolverhampton,"The Wolverhampton City Council is the largest in the UK, with 7,500 councillors and 2,300 members.",It is in the heart of the city where most of the public are and where the council is the only city to have a university.,It is in the heart of the city where most of the public are and where the council is the only city to have a university.,The Wolverhampton University is an all-girls college and is a top student attraction in the city.,"The Wolverhampton Regional Council is the largest in the UK, with 5,200 councillors and 1,300 members."
Zagreb,The Zagreb government has been accused by Western politicians of using the territory to fight the government in Kosovo.,"This accusation has been proven, and has been confirmed by a number of documents.",The Zagreb government and the Western government have been accused by numerous Western authorities of using the territory to fight the government in Kosovo.,The Zagreb government and the Western government have been accused by numerous Western authorities of using the territory to fight the government in Kosovo.,There is a clear pattern of Western-led actions in the past that have led to the US intervention in the region.
